video_id,title,topic,concept_tags,level,course_id,url,duration_sec
video_1,What is Big-O in 60s,DSA,"time complexity, big o",Beginner,course_1,https://youtube.com/shorts/5S6DEM6o3ew?si=FmuFgsVWz3sdFk7c,60
video_2,Gubs,DSA,"time complexity, big o",Beginner,course_1,https://youtube.com/shorts/Q4WFVYkhBnw?si=TK3YjvQMzesLglKF,60
video_3,Guns,DSA,"time complexity, big o",Beginner,course_1,https://youtube.com/shorts/B5r14XDOZP0?si=2yIdKaQzKBqqq9Dl,60
video_4,insertion in double linked list,DSA,linked list,Beginner,course_1,https://www.youtube.com/shorts/HWr5NXDsAHM,70
video_5,insertion in single linked list,DSA,linked list,Beginner,course_1,https://www.youtube.com/shorts/d5KCzHcmGOg,60
video_6,types of list,DSA,linked list,Beginner,course_1,https://www.youtube.com/shorts/8VOcgf05roE,60
video_7,insertion at end of single linked list,DSA,linked list,Beginner,course_1,https://www.youtube.com/shorts/qo0BHCtSkBw,60
video_8,3rd battle,history,battle of panipat,Beginner,course_1,https://www.youtube.com/shorts/E_jYe25Byo4,60
video_9,NLP introduction,NLP,NLP,Beginner,course_1,https://www.youtube.com/shorts/wIkSzhlWsik,60
video_10,Introduction,Introduction about chemistry,chemistry,Beginner,course_2,https://www.youtube.com/shorts/abmO95ZK0ew,60
